episode,length,reward,loss
0,134,-39.65415341414336,None
1,22,3.390517579162484,None
2,60,-15.010455108452616,None
3,157,-19.645955443576366,None
4,39,-24.512323502622095,None
5,74,-4.4259463447685405,None
6,62,-13.52188451150299,None
7,93,-2.237870268851728,None
8,11,-2.1582301653704867,None
9,218,-173.12837202332258,None
10,110,-27.40060595329025,None
11,40,-8.559398024862205,None
12,25,3.245706000488785,None
13,201,-48.807438222295175,None
14,268,-144.72765001555518,None
15,98,-36.01507277177375,None
16,110,0.7537441655094144,None
17,75,-26.934692694380068,None
18,364,-236.15714580884594,None
19,37,-16.539483357679913,None
20,181,-55.925742485614585,None
21,29,-11.933179120604633,None
22,44,-41.350097153514945,None
23,113,-76.39645758449333,None
24,79,1.6112121671352093,None
25,257,-14.37955259951111,None
26,29,-4.506034224994114,None
27,89,-11.025560659537597,None
28,47,-8.369589622148217,None
29,999,-407.20815419785055,None
30,114,-28.941406632278454,None
31,34,-15.421224613193317,None
32,51,-4.9097297293516124,None
33,50,6.812963222339849,None
34,999,-340.9324507979154,None
35,118,-32.00335267202455,None
36,999,-349.4201968039578,None
37,31,-0.47004899036851633,None
38,141,-28.494851814141768,None
39,40,-18.5902132624727,None
40,62,-23.17689998777328,None
41,105,3.584284763241775,None
42,29,2.583124931604053,None
43,29,-8.227570443884899,None
44,108,-27.831969458645887,None
45,114,-62.58331621385152,None
46,75,-49.26833728235878,None
47,159,-16.316019460987498,None
48,134,-109.35026996460527,None
49,47,4.087743281557688,None
50,999,857.590351943429,9.60010051727295
51,752,640.7428413774527,8.583520889282227
52,999,869.1329856761495,8.045310974121094
53,999,848.724597727931,7.812424659729004
54,999,-2732.4983540402823,9.790531158447266
55,999,-2828.2403846079774,8.651993751525879
56,999,-2720.7317260842815,8.33276653289795
57,999,-2728.4164244644094,7.880667686462402
58,999,-2806.323981207699,7.690003871917725
59,999,-2529.1227199333307,7.456808090209961
60,999,-2731.5221090681102,7.072953701019287
