episode,length,reward,loss
0,110,-1.5930825453326811,None
1,87,-58.53953768528863,None
2,72,-23.84609774925467,None
3,257,-145.3647472199895,None
4,188,-54.53391368826708,None
5,187,-73.94318463723745,None
6,310,-149.1554885721044,None
7,131,-99.20653090561974,None
8,29,-4.375244436829204,None
9,21,-7.620889319198396,None
10,80,-27.912400079105925,None
11,187,-80.81496860811167,None
12,28,-21.4147076534639,None
13,116,-53.64857695879259,None
14,999,-295.6996068716674,None
15,97,2.8951636814184756,None
16,24,-22.211257161964635,None
17,101,-24.478391534673428,None
18,84,-28.56948201137582,None
19,164,-54.106945613371245,None
20,85,-0.9152180303092896,None
21,224,-98.26940201076088,None
22,999,-355.6598423563467,None
23,32,2.0834891479184448,None
24,52,-12.408095910452083,None
25,153,-114.13746149359461,None
26,23,-4.494303931598287,None
27,999,-349.3598469798969,None
28,21,-4.488177843911807,None
29,81,-14.798478416864183,None
30,121,20.230427456248087,None
31,16,-21.09666472843658,None
32,999,-310.7718696332632,None
33,28,-11.433925258042981,None
34,198,-33.0053685014375,None
35,182,-59.50603511100744,None
36,89,-62.988481638725446,None
37,90,-26.225670310035046,None
38,53,-9.399192527398808,None
39,160,-4.152635122759829,None
40,60,15.005600753948691,None
41,126,-107.38613712804411,None
42,228,-54.583931438120295,None
43,41,-4.049485150341194,None
44,94,-30.276362591289708,None
45,78,-37.080050802957,None
46,14,11.762666883928315,None
47,56,-1.728074299756622,None
48,40,-9.570615127658469,None
49,61,-15.359711651751661,None
50,999,885.6364247838824,11.111440658569336
51,999,847.2349810525172,10.358144760131836
52,999,767.0197481154636,9.754781723022461
53,999,840.9141900822077,9.538834571838379
54,999,-2580.4549223824865,11.449389457702637
55,187,-457.321177725045,11.719657897949219
56,999,-2415.5658327957062,10.653572082519531
57,999,-2424.0724920946222,10.231565475463867
58,999,-2482.757731143062,10.055272102355957
59,999,-1396.4942480881352,9.819646835327148
60,595,-765.4234089527632,10.17184829711914
61,999,-1205.5441538452255,9.617395401000977
62,985,-1197.1731169997363,9.708248138427734
63,999,-1107.869500564203,9.630180358886719
64,485,-509.30597629589033,9.474222183227539
65,52,-40.10582501912449,9.345454216003418
66,999,-971.2253052935957,9.284847259521484
67,999,-905.4135454769165,9.077877044677734
68,553,-506.39499905984985,9.26758098602295
69,999,-170.83858490455293,9.169021606445312
70,271,6.000333403631809,10.608116149902344
71,999,59.86225160544154,9.070015907287598
72,999,126.94953227080627,9.97414779663086
73,999,115.68166115674812,9.672528266906738
74,794,-210.80912178571768,10.302029609680176
75,46,-8.545048164353835,104.18221282958984
76,999,-335.0132530768102,12.361087799072266
77,999,-283.9380285350971,12.274354934692383
78,999,-248.03647577217149,11.756940841674805
79,367,-113.11158297631138,11.581985473632812
80,999,-465.4002027052026,11.295239448547363
81,999,-381.7929533109274,10.528379440307617
82,259,-108.63634010985646,10.554994583129883
83,999,-336.5092207080705,10.31314754486084
84,999,-140.60871496147493,9.977212905883789
85,999,-340.28180953968007,9.392613410949707
86,999,-229.97802952093127,9.335774421691895
87,37,-15.849012953435704,9.340856552124023
88,999,-216.9386024388342,10.127069473266602
89,495,-454.4900444262818,9.079795837402344
90,148,-91.14062262318251,9.001204490661621
91,24,-27.849440902287807,9.306645393371582
92,999,-484.5406127332648,9.365803718566895
93,170,-76.60480925204956,9.172163963317871
94,10,-13.016958003560633,9.178428649902344
95,999,-635.6186382622434,8.816387176513672
96,999,-727.0218477026781,9.587430000305176
97,40,-40.50799364610924,11.491933822631836
98,448,-180.03452830862196,9.658370018005371
99,999,43.1799197524657,8.624094009399414
100,999,129.13588108464032,12.879292488098145
101,999,211.73860673833843,10.869455337524414
102,999,267.9994501138413,10.533546447753906
103,999,251.8605454883271,10.12736988067627
104,999,105.60800848874548,9.9627046585083
105,663,-89.99056106499725,9.640583038330078
106,999,40.590840521666195,9.575143814086914
107,81,-12.04121863324196,9.380379676818848
108,999,-99.98105819346702,9.23984146118164
109,999,136.02915335341788,8.908080101013184
110,999,528.3127959775709,8.954450607299805
111,999,613.7162304841905,8.925889015197754
112,999,606.1996461873813,8.953450202941895
113,999,575.6962991884135,8.650318145751953
114,999,329.3557092164415,8.995979309082031
115,999,422.7481723110628,8.971456527709961
116,999,402.6727698538548,8.878619194030762
117,999,403.06932105524925,8.794890403747559
118,430,197.4257657791802,8.712350845336914
119,713,196.11239470241264,8.798201560974121
120,999,471.8474933345654,8.765990257263184
121,999,210.07563477265253,8.619893074035645
122,999,67.27876910678802,8.578380584716797
123,999,541.7249645284646,8.43073844909668
124,999,308.5425117989203,9.037032127380371
125,999,469.2355638249587,12.381767272949219
126,999,293.13894751527516,12.048147201538086
127,72,44.301973024945596,12.012274742126465
128,999,576.7086813810345,11.570707321166992
129,999,345.4589810696138,11.460735321044922
130,999,286.5319480552904,11.253582954406738
131,999,464.20770612351754,10.670289993286133
132,999,435.80899380478684,10.159903526306152
133,999,368.99090596869485,9.96004867553711
134,999,414.88935569553513,9.57956600189209
135,999,507.93633940285304,10.01722526550293
136,371,200.24513141785837,9.338711738586426
137,999,349.2256386604246,9.135758399963379
138,999,528.6687842198577,8.897045135498047
139,999,368.6842090746269,8.905400276184082
140,999,283.188111602175,8.77951431274414
141,999,158.72626936154793,8.730035781860352
142,999,41.12848315180999,8.732232093811035
143,590,41.822130372867306,8.669053077697754
144,999,576.6695539379967,8.960861206054688
145,744,298.52705898552614,8.931251525878906
146,157,48.81717590591736,8.852953910827637
147,999,453.5288500181289,8.77102279663086
148,148,80.22514348013136,11.570501327514648
149,72,49.18147974667406,8.807562828063965
150,659,383.29877213683847,11.923233985900879
151,35,22.527274517408436,12.015986442565918
152,999,495.0291287474247,11.397989273071289
153,57,22.21660030245888,11.496859550476074
154,999,457.83161696652724,11.488895416259766
155,369,163.7847061531066,13.828681945800781
156,999,441.44780296434465,15.898828506469727
157,999,513.1912964431195,10.46523666381836
158,999,510.75624592094715,10.322141647338867
159,999,555.8553831740213,9.942370414733887
160,172,32.67614180389176,10.313879013061523
161,999,421.90109914888905,9.780597686767578
162,999,548.6798524856226,9.785222053527832
163,999,462.21912360059946,10.145280838012695
164,394,253.184297426075,9.37482738494873
165,999,335.6951207967046,9.673952102661133
166,999,539.5341425959245,9.800371170043945
167,13,9.343852181038601,9.429878234863281
168,999,559.0370525865832,9.286062240600586
169,853,488.9678260140456,9.608222961425781
170,999,450.33394793774903,14.847014427185059
171,80,31.614643024474958,9.696335792541504
172,999,527.9118118670868,9.48025894165039
173,999,395.29479818551437,9.578845024108887
174,999,447.1211774055021,9.413775444030762
175,999,418.0146554201865,20.225584030151367
176,73,12.903043133563854,16.709238052368164
177,999,337.1117336182981,16.42521858215332
178,999,349.635033456425,16.792226791381836
179,999,288.91589571622984,14.450369834899902
180,999,342.51708803538526,14.864935874938965
181,999,409.7675156419107,14.132660865783691
182,999,454.04897942323146,14.560615539550781
183,504,143.51855064007492,13.734901428222656
184,81,34.90767809934634,13.856165885925293
185,999,517.1466494743862,13.643000602722168
186,999,449.27725742811276,13.05131721496582
187,999,483.7812202017097,13.245037078857422
188,999,486.6948497994526,13.267388343811035
189,56,39.82407707948441,12.962798118591309
190,99,61.13195375028728,29.549793243408203
191,999,511.21239306289357,13.031295776367188
192,999,567.3345718623227,13.138298988342285
193,999,416.21045970492224,12.767263412475586
194,999,303.1741006476678,12.811456680297852
195,999,370.25530018413383,12.912814140319824
196,451,127.58329299989043,13.125347137451172
197,999,397.4782938312217,13.153085708618164
198,999,174.19556085439513,13.129047393798828
199,533,152.45017907751858,13.156378746032715
200,999,424.8769911570532,19.247390747070312
201,999,478.61696957039226,18.62285041809082
202,999,483.4895340895289,19.810924530029297
203,999,342.3432261946886,18.435449600219727
204,999,182.15760742076932,17.693256378173828
205,999,176.95740756560062,17.410015106201172
206,999,297.8583813647456,17.039169311523438
207,362,38.74351872479333,16.891695022583008
208,999,220.36013678152906,17.164642333984375
209,999,596.7480990080429,16.80133056640625
210,999,453.2669314436229,16.787025451660156
211,999,371.8902484700449,16.35335922241211
212,220,126.11858378857163,16.428874969482422
213,999,443.23876672469856,16.093074798583984
214,83,38.40160185239484,35.217769622802734
215,999,537.5019455145609,16.188196182250977
216,999,572.1364786944383,15.806767463684082
217,999,509.7933533217146,15.597408294677734
218,484,296.1344007915408,16.16141128540039
219,160,100.2820181047899,15.947659492492676
220,999,565.5246690713337,15.950176239013672
221,999,530.8711040768833,15.982912063598633
222,997,518.3000846729933,15.564545631408691
223,426,252.05966272558624,15.858291625976562
224,158,31.28082791940244,16.209339141845703
225,999,572.7893683861762,38.709659576416016
226,999,514.0848375836317,38.12108612060547
227,999,485.1663758222858,38.070308685302734
228,243,144.66613026389885,39.5756950378418
229,999,335.5298361063853,40.64365005493164
230,999,350.6930885334224,44.90338134765625
231,70,27.998925002780055,37.21672058105469
232,23,-3.268340960494362,39.39690399169922
233,125,70.17522695751698,37.3386116027832
234,72,44.239529022810686,47.14004135131836
235,14,-5.911404301455437,37.940406799316406
236,999,481.0430896762267,38.771575927734375
237,999,509.3737909339579,37.38645553588867
238,999,477.7875714399535,36.34025955200195
239,999,339.98816433511575,37.225276947021484
240,334,101.82226843618224,37.094173431396484
241,11,-12.192636433825925,42.612159729003906
242,999,396.7274215209598,36.818267822265625
243,999,424.14113296411875,35.6132698059082
244,999,195.81489692109113,36.39033126831055
245,999,377.36223956017847,36.668331146240234
246,17,9.544374714524404,35.99246597290039
247,168,-15.597329162763472,36.15523147583008
248,184,17.6496616513563,40.89775848388672
249,163,62.39060066883603,36.8091926574707
250,675,210.71426148824935,53.187259674072266
251,999,399.3791505694093,48.17336654663086
252,161,42.02271551181041,50.271392822265625
253,181,76.48410363039659,48.688358306884766
254,999,335.1510165600639,48.888832092285156
255,407,148.00456776124625,61.79936981201172
256,55,5.921185409236752,47.97614288330078
257,999,439.18726880353984,48.23212432861328
258,121,41.923936471463506,48.71267318725586
259,999,398.43282920197294,48.69902038574219
260,414,131.1776852748065,49.40484619140625
261,999,442.9608900132987,49.457603454589844
262,45,16.46935226612313,63.23456573486328
263,999,339.0347858131484,48.37855911254883
264,999,371.3225113826525,49.177852630615234
265,999,351.2983803499246,48.11967468261719
266,204,85.91080894420192,47.47077178955078
267,999,433.522884254067,47.63875961303711
268,999,97.13372914691229,46.77836227416992
269,687,167.85671691344902,59.73973083496094
270,999,327.218873780764,57.73844909667969
271,999,169.63794189470252,46.310157775878906
272,808,279.6641965409314,46.174198150634766
273,999,368.029565561482,46.53090286254883
274,999,686.1852285739444,46.99534606933594
275,999,428.004174957707,44.314552307128906
276,878,448.7130197756535,45.27741622924805
277,11,-3.580071279396221,44.855430603027344
278,999,181.09983407628036,47.64892578125
279,295,194.29364288291129,44.77461242675781
280,264,103.25097748724231,47.656715393066406
281,253,84.4401367857671,44.82390594482422
282,153,70.2220872499982,68.16385650634766
283,309,90.16976174434069,44.23728561401367
284,646,45.388265738239454,46.013980865478516
285,999,125.68641061675609,50.63087463378906
286,248,59.72035763875357,44.853843688964844
287,853,218.29063046572068,48.38026428222656
288,304,151.092778099163,45.429927825927734
289,196,94.1050370303413,45.84282302856445
290,842,200.02629245264262,47.16059494018555
291,93,2.404410457465848,46.28913879394531
292,999,357.4538997577011,62.864837646484375
293,999,430.20691922374573,50.50188064575195
294,183,104.0895069796501,45.76432418823242
295,999,282.82035082011305,57.534637451171875
296,999,321.0681296205715,45.90519332885742
297,989,34.384058696908845,45.958499908447266
298,999,329.7269586676934,44.939453125
299,999,333.814293271144,45.093536376953125
300,816,214.43107665289082,73.97128295898438
301,999,215.41206730283875,73.25043487548828
302,999,301.2696083414818,93.0794448852539
303,999,223.04035574242752,72.64249420166016
304,435,-2.513135979970855,71.999755859375
305,500,211.0139860507799,71.86103820800781
306,727,172.23840578547862,71.78919982910156
307,999,211.4738286026165,75.98487854003906
308,999,383.24614807370875,71.82550811767578
309,300,171.3359688683721,75.02808380126953
310,999,189.55358985150303,71.19690704345703
311,999,184.8447618121667,70.3427505493164
312,999,157.66886245404123,71.60419464111328
313,644,121.71391952425998,70.78218078613281
314,999,391.11925126386154,70.177490234375
315,999,282.13966130061027,70.59611511230469
316,999,272.8462050493315,70.34101104736328
317,129,0.8411787438697935,93.71247863769531
318,999,169.20382722797137,69.57649230957031
319,999,247.02902413736635,70.08234405517578
320,999,314.24442312375163,69.48904418945312
321,78,1.223509502121574,85.71737670898438
322,165,73.29686102682835,69.48587036132812
323,999,179.53220409998312,70.22813415527344
324,999,304.51415786379863,69.79755401611328
325,500,168.20531922540465,70.63216400146484
326,168,15.303550191976687,69.4014663696289
327,999,183.4457095793639,66.74162292480469
328,999,223.173909646644,66.76773834228516
329,990,169.7990953178891,66.11973571777344
330,999,236.93530803427524,65.78668975830078
331,999,297.6502531005736,65.44074249267578
332,362,103.34575978667289,65.94705963134766
333,999,287.7343702288676,70.51422119140625
334,105,-1.542448337367479,65.96481323242188
335,722,254.10686295570724,64.7132568359375
336,406,126.5612729291965,64.72557067871094
337,999,251.40430775265654,64.883056640625
338,999,322.7676484113828,65.37066650390625
339,999,115.68931296793258,65.70352935791016
340,999,242.75791385370604,72.60289764404297
341,999,93.72586049015567,70.20270538330078
342,999,307.066608948201,64.08871459960938
343,201,28.16461964961968,63.71282958984375
344,999,259.6294183270963,63.862220764160156
345,999,235.65212789896935,63.319149017333984
346,999,119.40563298521968,62.21209716796875
347,999,257.3432218530744,62.8690185546875
348,999,154.55916366221683,62.7825813293457
349,999,259.5434223866644,62.550926208496094
350,999,273.3662045161036,98.0116195678711
351,431,36.772505169527946,98.81757354736328
352,999,226.40739043375814,98.8905029296875
353,999,212.24402403296165,98.35617065429688
354,999,225.93003627113887,96.66397857666016
355,999,29.686744314089076,97.1677017211914
356,999,253.1915961008232,96.90633392333984
357,999,319.1755760754153,96.32494354248047
358,993,106.12915348012567,96.90349578857422
359,999,166.79740067311064,96.71746826171875
360,574,149.8735028610956,97.28414916992188
361,999,196.1520116758475,96.26758575439453
362,470,162.91999697384878,96.38748931884766
363,231,7.052268144841771,96.42121887207031
364,999,259.9793827405152,96.92127227783203
365,999,289.71454851971635,96.4714126586914
366,999,226.3780706661914,96.3420181274414
367,999,362.4964937482218,96.25135803222656
368,999,296.4681560146088,96.20988464355469
369,999,245.1246902557585,96.15361785888672
370,905,61.902963675457265,95.91214752197266
371,259,40.716621811392166,95.75479125976562
372,999,58.17998984751645,131.50755310058594
373,999,84.57813501865381,95.8863754272461
374,295,97.01437635503629,96.58526611328125
375,589,94.44336886779675,165.76498413085938
376,999,299.15325083266595,165.5764617919922
377,999,281.499707338953,165.60980224609375
378,999,285.64366168816207,889.8060302734375
379,999,118.16795300411613,175.67185974121094
380,999,161.79210883609525,161.24990844726562
381,999,196.30769405684154,160.58546447753906
382,230,17.377965385615486,161.16712951660156
383,126,30.69626490120206,159.6957550048828
384,999,213.50154445768834,160.03277587890625
385,999,208.16404022869992,159.2838592529297
386,332,-4.778375958903039,159.53076171875
387,999,84.54800836913257,158.9487762451172
388,195,40.715994521441914,158.80979919433594
389,45,-28.36933112490499,159.96041870117188
390,999,161.53910210743527,159.1570281982422
391,999,180.02684724774812,158.79368591308594
392,999,108.88900552994187,158.80120849609375
393,999,322.85611545864566,161.42886352539062
394,999,140.38855409930943,384.7566833496094
395,999,210.80057332169036,162.10670471191406
396,53,9.12473432843874,160.4105987548828
397,601,14.494603052953783,158.84136962890625
398,133,21.07000436258086,159.6262664794922
399,497,168.34332489773354,159.4688262939453
400,999,123.65392901663496,231.38600158691406
401,196,45.18045638175009,223.12135314941406
402,999,245.96927719994548,222.96127319335938
403,999,304.7954306877375,220.3214569091797
404,999,136.0995339768109,213.31858825683594
405,999,160.1808706953983,212.54766845703125
406,97,12.190284764054852,211.1461944580078
407,999,222.33086069306503,213.30165100097656
408,999,201.6733756355241,211.07073974609375
409,107,-4.7804821070774315,211.23756408691406
410,19,-21.744638618129237,211.2698974609375
411,312,40.51081558694254,241.28594970703125
412,323,94.39111045621051,215.54397583007812
413,69,-9.695717441394148,228.55072021484375
414,387,38.13809567538662,214.0812530517578
415,999,155.44201516741873,212.12620544433594
416,370,63.93044803741955,211.0364990234375
417,999,220.67381437482075,211.1903533935547
418,193,36.382912609531175,213.3603973388672
419,199,69.08102949109906,216.50982666015625
420,300,90.92596760961091,212.3365478515625
421,999,358.0318959409524,211.7843017578125
422,999,222.95769045036707,214.2280731201172
423,999,414.62439011836705,211.60374450683594
424,999,347.9669573674772,210.43983459472656
425,276,83.13553638290136,386.38311767578125
426,117,35.42973255785593,383.1337890625
427,491,156.63096319961159,379.6852111816406
428,679,173.61465213521114,378.70849609375
429,315,-6.495070008609387,360.7801818847656
430,999,-140.27974816304987,362.5699462890625
431,44,-1.0351693674376299,505.108154296875
432,999,-142.58134681533897,355.7366943359375
433,414,-59.21761163350639,361.310791015625
434,999,-136.46500744155,352.4142150878906
435,999,72.73178364598711,351.1319885253906
436,216,72.69730560031083,352.6424865722656
437,133,50.307504417977505,354.509765625
438,999,279.0908724416303,353.8334045410156
439,354,14.4606970162338,352.0270690917969
440,115,-27.334708217691603,350.85272216796875
441,194,-4.35272749909444,351.3763732910156
442,283,59.89296950684989,356.4234313964844
443,111,26.910522413752673,351.0078125
444,999,80.20999640775229,353.227294921875
445,32,-12.068268086033381,355.56671142578125
446,999,-21.817460089523873,353.1130065917969
447,999,45.96371781818469,351.5541687011719
448,392,-21.432020992502853,352.4705505371094
449,293,62.421601494569884,350.6562194824219
450,999,155.06380618328308,607.9615478515625
451,999,250.5044111923344,570.5460205078125
452,999,154.27876970249525,557.3473510742188
453,183,63.62740800384683,566.5697631835938
454,999,9.615562252471024,543.5335693359375
455,90,-21.62666506712809,544.5556640625
456,999,149.4920037928577,543.1025390625
457,409,3.5077397485228716,540.3939208984375
458,999,167.73816028966363,539.8649291992188
459,87,4.479028613040814,540.317138671875
460,360,-120.95193365868286,540.2910766601562
461,487,-81.74680813453986,547.373046875
462,703,-276.32477259871524,542.62890625
463,672,-292.72273887803766,542.0768432617188
464,195,-21.655594168431428,543.2224731445312
465,999,168.02404873515096,539.1853637695312
466,337,-2.1590019382315013,539.025146484375
467,999,130.74385607526145,538.0728759765625
468,999,228.98217516810462,539.9982299804688
469,87,3.413701488741601,538.4381713867188
470,37,-1.254588161819317,539.464111328125
471,999,-56.72618602432074,539.4371948242188
472,177,86.91187484777497,538.6292724609375
473,999,-40.28679451977768,538.8477783203125
474,199,27.91010989399702,541.53759765625
475,999,244.55221955032172,869.6463012695312
476,89,28.48308350371709,855.941650390625
477,68,9.689656588886576,811.4647827148438
478,999,52.964914291467856,755.0858764648438
479,20,-25.341346339799948,785.0684204101562
480,999,-1791.0989165957224,746.2706909179688
481,999,-1785.782723448148,704.695556640625
482,999,-1819.3030409094692,670.4710083007812
483,999,-1760.583612523909,696.0574340820312
484,999,-703.1986419073297,602.9954223632812
485,159,-77.91326422825665,599.7601318359375
486,999,-440.02746894559283,598.0419311523438
487,999,-491.89882359820706,593.2518920898438
488,999,-494.95427152601536,594.7981567382812
489,999,-223.1820748345662,589.0650634765625
490,999,-236.1976760854422,590.2757568359375
491,999,-239.63403204184743,588.2740478515625
492,198,-1.6142938646105964,588.5618896484375
493,15,-8.790184896822618,595.9314575195312
494,999,-114.45780223824525,587.0924072265625
495,67,1.4766089446219035,586.4878540039062
496,438,-100.12666189540506,588.3291625976562
497,999,-120.75128003476348,586.8941650390625
498,37,-10.822313954929802,587.8275756835938
499,999,-49.00142942008174,586.4414672851562
500,999,-35.97272324174536,1399.5435791015625
501,999,-13.25995046022405,1266.39990234375
502,58,2.4614891543122104,1221.195068359375
503,238,-4.742835010418147,1092.112548828125
504,999,-1801.2734989543064,951.8455200195312
505,325,-414.1218144436808,949.3631591796875
506,237,-347.10033598007055,960.9232177734375
507,999,-1347.0404086305482,942.0897216796875
508,229,-312.85036941505064,947.3596801757812
509,90,-114.01209045144907,942.7507934570312
510,531,-686.1295345276046,942.0374145507812
511,999,-1287.0380308267227,941.5126953125
512,999,-1296.550064374846,946.6184692382812
513,999,-1222.4938579708198,948.05859375
514,16,-35.47535368732483,937.4872436523438
515,999,-1241.063546440544,940.21728515625
516,393,-515.1069065324428,938.096435546875
517,625,-724.7475692426158,939.5985717773438
518,999,-1284.3739845089933,945.8763427734375
519,464,-411.7312255550717,949.5684204101562
520,218,-80.31251008314155,935.5491333007812
521,999,-528.6028697703407,935.9915771484375
522,999,-436.2537091413033,932.7257690429688
523,999,-491.0977128760614,948.8863525390625
524,999,258.97328390663944,933.9166870117188
525,21,-2.7648613454736504,933.2827758789062
526,476,-76.79528773693426,932.8475341796875
527,461,-224.70496144324747,933.6707763671875
528,73,-4.017964625516767,936.327880859375
529,286,34.90788558268758,935.225830078125
530,999,14.680594990271413,935.37744140625
531,263,-83.72396225822216,937.2366943359375
532,299,-35.22181060274619,935.121337890625
533,46,-0.20022222341237628,935.2492065429688
534,64,6.933304224269971,955.3026123046875
535,387,9.297176275420261,946.3038940429688
536,999,-6.738508437292216,935.3882446289062
537,162,-6.362189980618515,938.927490234375
538,175,7.775899087536331,934.721923828125
539,999,-15.826545086181817,935.6951293945312
540,84,9.18287724933975,933.1213989257812
541,56,1.1911717838389215,989.4780883789062
542,512,-218.17811372447034,939.1581420898438
543,999,-233.97400818456384,934.7050170898438
544,999,-135.41851236277074,940.7593383789062
545,263,40.88170065870353,937.2061767578125
546,127,-1.2180652018794467,937.4683837890625
547,28,-16.429290693495346,948.5541381835938
548,999,116.95608254056174,934.8278198242188
549,222,-5.230591421638299,934.4296875
550,999,-652.0512896016232,934.238525390625
551,553,-613.1511186688329,935.1273193359375
552,999,-24.554918545315424,984.7776489257812
553,999,126.78981146085604,935.0341186523438
554,999,44.26571860652116,933.193115234375
555,999,-20.674029191883918,934.6369018554688
556,67,15.56651986569656,933.4366455078125
557,146,-22.876545533251587,967.3512573242188
558,74,32.64955350064215,932.851806640625
559,999,-79.5936150720666,932.4113159179688
560,999,-405.534183137735,938.0752563476562
561,109,-4.576008879626281,938.9761352539062
562,999,-461.3615934592094,935.533935546875
563,277,-198.78908641686388,935.7024536132812
564,317,25.53787771091376,934.6569213867188
565,999,134.21850104811122,933.5653686523438
566,447,102.48239340472335,934.4204711914062
567,999,138.14172769862864,966.058837890625
568,999,160.89717119120004,932.676513671875
569,360,-90.38757716254231,930.9774169921875
570,999,-196.4576297661759,935.7911987304688
571,265,-10.724187748113629,932.08349609375
572,999,-209.71002299530653,931.4920654296875
573,999,-37.346850384760934,931.1499633789062
574,134,-23.519618937221576,930.1355590820312
575,208,-41.79787299079468,930.36279296875
576,999,-31.794409853411917,930.8102416992188
577,999,-35.99327376985634,930.9628295898438
578,379,67.05307031423153,934.7040405273438
579,263,-29.574030742477447,931.4087524414062
580,563,-78.69229529037744,934.307861328125
581,152,11.480225857197382,929.3941650390625
582,139,-8.877915015913715,930.4718017578125
583,999,-31.017120805726112,929.1892700195312
584,999,-35.483994651439794,930.0437622070312
585,51,-29.873350842932332,936.9241943359375
586,999,-24.287584968706252,934.23681640625
587,15,-13.507178150946498,934.7462158203125
588,33,-38.30874518942923,929.4417724609375
589,639,-181.00151847994903,938.2467041015625
590,999,-495.3935848273692,937.1217041015625
591,320,-133.66679182185615,935.6619262695312
592,128,-16.170902617677843,937.482177734375
593,192,-16.258775903422624,930.6328125
594,999,92.82499066984884,930.0390014648438
595,248,-66.78657957599461,930.4410400390625
596,999,100.12832034305472,936.02880859375
597,198,-62.85744515684277,930.0172119140625
598,13,-11.268732227702596,930.9518432617188
599,999,99.36910519470324,931.093505859375
600,98,-11.096241501563165,943.2027587890625
601,999,56.23254839481316,931.9039306640625
602,289,-106.30517724919947,929.9837036132812
603,118,-56.926248850370854,934.5194091796875
604,999,-165.19715911216883,929.9261474609375
605,96,24.568882250991898,931.4541015625
606,999,155.64061543357832,932.9736328125
607,71,-14.828080297248997,929.4671020507812
608,615,-194.83953770852915,934.3613891601562
609,999,-288.88595348252403,935.0670166015625
610,150,-104.02282630809013,930.6549072265625
611,130,-72.01359130901628,931.5653076171875
612,999,-331.66352229253823,929.7236938476562
613,999,-264.45094221446533,932.3858032226562
614,764,-165.58793648927045,930.434326171875
615,189,-14.812508687024899,929.2620239257812
616,21,-10.202945493881469,931.460693359375
617,999,58.286969997359684,930.2792358398438
618,329,-37.34521759554749,930.613525390625
619,14,-15.134877631352184,959.2261352539062
620,999,125.87512320040608,929.45947265625
621,999,203.44477915825308,929.8368530273438
