episode,length,reward,loss
0,21,-5.0641526183671886,None
1,266,-147.80523215202953,None
2,999,-315.0082762800694,None
3,117,-81.52476763070818,None
4,111,14.677985851831266,None
5,41,-29.807823806117383,None
6,17,-9.723531036330224,None
7,54,-17.864292579825797,None
8,215,-63.63431022003055,None
9,14,-0.44769909954994924,None
10,32,8.390082086626862,None
11,25,-45.75826997282637,None
12,81,-67.83862283060711,None
13,177,-75.00724218457644,None
14,151,-90.76607933702623,None
15,202,-97.34358435854506,None
16,92,0.7370316771028138,None
17,60,-2.6293145573329357,None
18,46,-31.810698385255364,None
19,95,-70.08100398211387,None
20,48,-35.512708342372996,None
21,23,8.407012548975853,None
22,327,-59.84469576292457,None
23,68,-31.840134218498296,None
24,64,-31.666418244504868,None
25,19,-1.5915924915590116,None
26,54,3.505041223028761,None
27,26,0.4133743867768056,None
28,60,-12.271270731370493,None
29,47,-6.433209480703306,None
30,44,-27.73216243592164,None
31,92,-43.23256691964635,None
32,30,-23.24371836893088,None
33,166,-45.59433174304776,None
34,81,-9.2590774965287,None
35,98,-76.28268054827802,None
36,999,-349.02043280697285,None
37,39,13.304961811898938,None
38,378,-67.25731587177327,None
39,89,-59.03367582327898,None
40,66,-75.13727974992626,None
41,47,-21.193413501511422,None
42,84,-59.362359467233865,None
43,94,-28.280237318862937,None
44,75,-51.27932567376496,None
45,73,-63.51939608248395,None
46,37,-15.04829331488771,None
47,15,-10.257770904243081,None
48,21,-27.74808509467799,None
49,21,9.874149497545634,None
50,999,834.9779328368267,11.654476165771484
51,999,859.5423539051733,10.355542182922363
52,999,840.4060892480011,9.792401313781738
53,999,912.4605717828367,9.521663665771484
54,999,-2696.0368851605017,11.721744537353516
55,999,-2734.7261521263463,11.267206192016602
56,999,-2754.0120259373534,10.649007797241211
57,999,-2776.633615048455,10.50912094116211
58,458,-1262.1997348689924,9.48795223236084
59,999,-2769.6836499631167,9.833830833435059
60,999,-2665.8737361372914,9.349690437316895
61,999,-2735.8025226647324,9.055144309997559
62,999,-2729.3856498303435,8.823501586914062
63,227,-610.2409708078842,8.970958709716797
64,999,-2130.7074556199136,8.891336441040039
65,999,-2023.9460673168146,8.894343376159668
66,175,-359.75383354608005,8.582220077514648
67,715,-1469.7332683464722,8.936781883239746
68,151,-312.5988526327256,9.088041305541992
69,999,-1992.4037733363311,8.726880073547363
70,999,-1667.557208896257,8.584182739257812
71,999,-1685.5580395577308,8.584016799926758
72,62,-160.2790852894944,8.761409759521484
73,504,-965.5992085733182,8.786992073059082
74,999,-1893.2560189249289,8.988792419433594
75,252,-512.9921168829974,12.143420219421387
76,999,-2065.724893405674,11.901698112487793
77,999,-2021.6284767513907,11.196627616882324
78,999,-2035.129685253414,11.25846004486084
79,999,-1820.7812602918493,10.864768981933594
80,999,-1605.0617498451984,10.0346040725708
81,999,-1590.2061613167748,10.188680648803711
82,999,-1420.2555812909582,9.696273803710938
83,999,-1375.4066872828298,9.542525291442871
84,520,-557.0051255634057,9.445481300354004
85,728,-510.6093436361621,9.719779968261719
86,451,-255.88698029502552,9.33095645904541
87,13,-16.840333328670873,10.225366592407227
88,143,-96.75741403558148,10.130724906921387
89,999,-632.0778904111821,9.717438697814941
90,999,-358.03762172973387,9.543896675109863
91,178,-116.67798410414206,9.900370597839355
92,734,-403.1868642877394,9.416961669921875
93,153,-105.26882536142892,11.48298454284668
94,603,-373.82358460766153,10.338772773742676
95,999,-264.5995405916542,10.09737491607666
96,822,-332.8434817464782,9.883468627929688
97,999,-422.8144165675605,10.081991195678711
98,394,-230.15281938074654,10.052364349365234
99,999,-539.842524438504,11.244197845458984
100,999,-393.99660152060903,12.01822280883789
101,999,-314.98913525272206,11.375406265258789
102,999,-851.593062740305,11.292640686035156
103,999,-239.9169818883681,11.307772636413574
104,999,-530.3280888843149,10.72452449798584
105,33,-11.76948809798262,10.596802711486816
106,999,-524.5375281505349,10.424224853515625
107,720,-228.7226697902716,10.274330139160156
108,999,-352.5446238365374,10.357900619506836
109,999,46.08239732874174,9.914861679077148
110,999,-182.91278559010865,9.192331314086914
111,999,-148.18249943993564,9.228053092956543
112,32,8.986444620045546,9.476094245910645
113,101,2.2913010120841752,9.603873252868652
114,999,307.6453115601141,9.3511381149292
115,999,273.4391259019662,9.647302627563477
116,124,37.958089831399505,9.186031341552734
117,999,300.48837818071064,8.977787971496582
118,999,177.99223646886017,8.948122024536133
119,151,70.33410341331509,8.865161895751953
120,831,421.82131292030186,9.12663745880127
121,999,407.64567231046465,8.843704223632812
122,89,42.79075860542188,8.606432914733887
123,999,399.87559991869847,8.922768592834473
124,698,310.4659547800647,8.604093551635742
125,999,388.90733973187736,13.345537185668945
126,999,400.9335807525884,12.923105239868164
127,16,14.32564376971519,12.895057678222656
128,801,447.15223236235954,12.858959197998047
129,999,292.22983584123944,12.529027938842773
130,999,434.0594576429999,12.244032859802246
131,999,323.0786692211523,11.771191596984863
132,999,253.84278365123032,11.58156967163086
133,999,367.49478251917054,11.773981094360352
134,999,455.2690421448608,11.36391544342041
135,999,247.65945848808,10.913086891174316
136,857,162.27172087802197,10.789812088012695
137,58,15.967502760344395,13.102917671203613
138,245,15.331012348128448,10.85228157043457
139,179,88.12353359683797,11.214673042297363
140,667,175.26219319770888,10.654752731323242
141,231,78.28124199606104,11.287412643432617
142,999,348.6339518098784,11.971942901611328
143,999,132.2370667819366,10.185798645019531
