episode,length,reward,loss
0,91,-22.550716626996227,None
1,13,-16.23320866876125,None
2,48,3.803715675634626,None
3,23,-3.3085191294159295,None
4,69,2.493624826565232,None
5,128,-1.0829017151848692,None
6,429,-162.409084673327,None
7,419,-127.94505348384519,None
8,264,-89.02131926617584,None
9,83,-34.77182220918942,None
10,999,-312.48569838720744,None
11,46,-11.257528329061039,None
12,999,-327.26288110366795,None
13,52,-21.27163058235783,None
14,13,-15.612524044363862,None
15,23,-15.449244483954708,None
16,24,0.13279142021741164,None
17,25,-19.727556064021694,None
18,18,-4.774701131680245,None
19,28,3.655653384046427,None
20,98,-21.11700237588328,None
21,11,-6.904409273003985,None
22,377,-109.14684058468858,None
23,999,-274.6409283555357,None
24,96,-14.823041322997819,None
25,117,-65.39974433192512,None
26,999,-265.14576049801997,None
27,16,1.6295971677864667,None
28,35,2.6797999549424913,None
29,17,-3.4830508192361354,None
30,13,-7.613465876822444,None
31,128,-61.993307268051005,None
32,47,-10.29169661170716,None
33,999,-321.6580464393775,None
34,372,-104.13471335740132,None
35,16,-16.9850037434022,None
36,304,-130.8227071797184,None
37,999,-292.1005642641817,None
38,112,-70.78705688521786,None
39,45,-5.518364046903766,None
40,119,-30.823453538948343,None
41,150,-52.712043578916514,None
42,28,-12.612531277304756,None
43,27,-3.067379314586281,None
44,69,-82.42668208493922,None
45,138,-66.89979707878092,None
46,90,-58.91483344726978,None
47,25,-21.004867892385143,None
48,25,5.4333636472700135,None
49,92,-41.04276794149807,None
50,999,867.7903293943947,11.123071670532227
51,999,867.2563115955975,10.383859634399414
52,999,947.1281993325864,9.82460880279541
53,999,924.5391415444884,9.373714447021484
54,999,-2603.240859128332,11.740212440490723
55,959,-2702.796613291557,10.974268913269043
56,646,-1806.2147577794426,9.949058532714844
57,999,-2770.9698089834133,9.518803596496582
58,999,-2713.283595508869,9.354742050170898
59,159,-406.3885771298945,10.875905990600586
60,999,646.2747825545081,9.191954612731934
61,999,610.6918887849745,8.8215970993042
62,999,642.0975122278393,8.94839859008789
63,999,625.8379085444866,9.000724792480469
64,999,-1766.2840319110658,10.614357948303223
65,999,-1835.9410559427522,9.600737571716309
66,999,-1856.8132792049983,9.513833045959473
67,999,-1847.1113574351732,8.835787773132324
68,999,-1885.5764684467722,8.729724884033203
69,36,-40.68084883707607,8.851822853088379
70,999,-773.8470110415134,9.075289726257324
71,999,-1154.5924199990106,9.147012710571289
72,999,-1264.5833094746667,8.505349159240723
73,999,-1249.0696839571267,8.704599380493164
74,999,-761.3618806490073,8.605001449584961
75,999,-959.0972572164931,10.746739387512207
76,999,-920.6538367813005,10.565468788146973
77,999,-963.8689131150202,9.870195388793945
78,999,-966.8388070506974,9.793556213378906
79,721,-175.25656602852916,9.716669082641602
80,445,-16.628267432085025,9.273797035217285
81,999,-18.831868375089364,9.253249168395996
82,999,126.16627753448185,9.109701156616211
83,999,-29.06189006751036,8.949816703796387
84,999,157.95371709097867,9.331825256347656
85,999,-90.30189483858936,9.244001388549805
86,200,33.765648078546256,8.991560935974121
87,999,-21.28712992359924,8.881868362426758
88,999,-98.82421783874494,9.979720115661621
89,999,44.48707686795333,8.972671508789062
90,132,2.3613671310621847,9.251075744628906
91,115,1.1591464762951695,8.758023262023926
92,999,30.706691483176858,9.064026832580566
93,999,178.713546840318,9.286039352416992
94,999,28.092326897356116,9.228704452514648
95,149,-0.1339279695948491,11.8582763671875
96,277,23.554218299478826,8.64781665802002
97,732,84.92595671040016,8.728582382202148
98,999,11.609924172121174,8.921930313110352
99,177,-48.25750257051386,8.686482429504395
100,999,-176.7369179815395,11.17685317993164
101,999,3.601038233321378,13.8480863571167
102,999,-16.33092835156735,10.663861274719238
103,999,-15.662399589489345,10.06066608428955
104,293,11.814046987482254,10.349082946777344
105,999,-117.1899977914173,10.131702423095703
106,154,-45.878907321379025,9.971709251403809
107,55,-46.555873325950024,10.223037719726562
108,999,-259.37363043136554,9.93083667755127
109,999,29.562122009051006,9.467472076416016
110,456,102.96295184361794,9.627510070800781
111,999,-175.46883560069384,9.484763145446777
112,15,-14.016605736775613,9.69384479522705
113,999,199.41006927242765,8.939916610717773
114,999,462.29857470061495,12.336028099060059
115,999,346.5188411596725,8.769468307495117
116,999,435.16343271029916,8.867622375488281
117,451,90.74500290208037,8.66753101348877
118,570,157.46412580321004,10.204700469970703
119,999,344.72258669276533,11.317987442016602
120,110,31.162460474712514,11.29348087310791
121,999,396.44320090672016,8.682073593139648
122,999,343.8186768392275,8.601999282836914
123,237,110.69462667910032,8.600537300109863
124,999,473.46113829822974,8.376607894897461
125,999,457.3645890754498,11.979455947875977
126,353,137.90963654632074,11.744153022766113
127,999,466.1207259026685,11.566227912902832
128,19,3.4908999511704226,12.559094429016113
129,72,12.967970650981956,11.664241790771484
130,999,164.47750961695624,11.329038619995117
131,999,352.8456022977218,12.825705528259277
132,999,388.2322803150855,10.808490753173828
133,999,275.7214906649099,10.065692901611328
134,999,519.8682699859903,9.996418952941895
135,318,122.84453852598725,9.791718482971191
136,999,366.8131154561035,9.97791862487793
137,143,55.68629358677833,9.946566581726074
138,999,393.0137455325332,12.793513298034668
139,156,65.32202218857661,9.86817741394043
140,999,455.0529566349638,9.578603744506836
141,999,410.08649171022773,9.230613708496094
142,999,405.92766764055364,12.253995895385742
143,8,1.011691726077234,13.174988746643066
144,999,447.8993926144648,9.321708679199219
145,75,4.580599297261228,9.180017471313477
146,999,422.69629009479195,9.332383155822754
147,418,116.92086316184937,9.209457397460938
148,999,353.9388401012108,9.141763687133789
149,999,521.7189851367297,9.52611255645752
150,342,190.00495955185204,12.445674896240234
151,999,500.9097224774797,10.792821884155273
152,999,541.0199212930115,15.852469444274902
153,895,440.2162287811365,10.168381690979004
154,999,438.3685599060228,10.258661270141602
155,999,536.3354190193519,9.873291969299316
156,999,497.8327105062837,9.41002368927002
157,999,572.0223047396836,9.6048583984375
158,26,1.6130202073199313,9.08176326751709
159,999,548.5225830357485,9.48291301727295
160,999,358.1657406859135,8.984315872192383
161,999,483.1255893649004,11.49478816986084
162,999,445.54366424608946,8.988584518432617
163,999,433.5628690588159,8.94184398651123
164,999,275.0405528218056,9.040976524353027
165,999,348.64619010248117,8.834278106689453
166,999,362.70053057968664,9.00523853302002
167,999,385.52053216859576,8.935662269592285
168,392,95.00469493712195,9.069384574890137
169,600,262.68644238031055,9.235250473022461
170,999,446.3800794272826,9.36412239074707
171,999,482.22858705378457,9.42334270477295
172,999,469.18162674841,8.932829856872559
173,999,388.59294462125723,9.203531265258789
174,999,342.30882389797796,8.645841598510742
175,999,476.39610382536404,10.903103828430176
176,999,336.65590957691137,10.546427726745605
177,999,416.84830063181533,10.413016319274902
178,999,427.9170299299768,9.894068717956543
179,999,302.34308053239823,9.564149856567383
180,662,167.7515961940179,9.801538467407227
181,999,261.4776509144342,9.537728309631348
182,999,270.79145438033396,9.712798118591309
183,999,353.72415836468844,9.27859115600586
184,999,477.90055769113445,9.301526069641113
185,857,391.79185666311884,9.171305656433105
