episode,length,reward,loss
0,19,-18.676152445145433,None
1,328,-127.05972467265923,None
2,15,-4.892707853962294,None
3,133,-45.015689214965555,None
4,117,-46.05453641082828,None
5,999,-309.6898113977299,None
6,49,-22.398157662850505,None
7,53,-15.417620423018315,None
8,181,-65.63752394781491,None
9,28,-8.611839094986632,None
10,128,-130.5127721371291,None
11,58,-54.017549818008725,None
12,36,-23.450574698612005,None
13,44,-16.21619536549938,None
14,39,-4.127290677398398,None
15,21,-15.310344614847944,None
16,33,-27.701143618881915,None
17,25,-20.987909316931393,None
18,35,-4.355791415839794,None
19,91,-61.271640437000585,None
20,97,-83.95587671402984,None
21,94,-31.8947093679362,None
22,999,-313.5424931623101,None
23,17,2.147213984010307,None
24,20,-7.429866496401008,None
25,146,-69.84529355349905,None
26,20,-16.135527044217223,None
27,999,-368.6600986945791,None
28,126,-21.37462460175854,None
29,999,-345.57354263697704,None
30,23,3.701356979562114,None
31,42,32.99497215077575,None
32,277,-76.91904376564008,None
33,161,-77.9094665816371,None
34,80,-17.652770142502664,None
35,39,-6.262054887305671,None
36,30,-12.915578904597144,None
37,30,-0.3570427628369821,None
38,57,-7.02383536416244,None
39,17,-9.18722099129702,None
40,31,-4.86432470658692,None
41,75,-79.10424292575127,None
42,45,-14.24744482833869,None
43,29,-6.361858578120821,None
44,27,-14.090068305365087,None
45,47,-28.058182925626674,None
46,45,-14.419044017257772,None
47,72,-59.607434206869556,None
48,97,-55.58612925504447,None
49,999,-365.0320973915768,None
50,999,771.7372078103779,0.2759432792663574
51,999,900.2265910431282,0.1997414529323578
52,999,753.3007954233165,0.08476175367832184
53,256,215.18796281970032,0.0804663598537445
54,999,812.7962207831652,1.7680435180664062
55,999,740.8779364221429,0.8063712120056152
56,999,705.9835526291779,0.9544944763183594
57,999,698.0038332514891,0.6692313551902771
58,999,680.5386612620695,0.6314259767532349
59,999,703.4684044693922,0.8483850955963135
60,758,442.97359462913624,0.7595099210739136
61,999,585.3018525639079,0.5889697670936584
62,999,529.7243213960571,0.6698647737503052
63,999,530.5626555894322,0.5093066692352295
64,999,250.1233663602399,0.7333352565765381
65,999,294.3019539072176,0.5877478122711182
66,999,319.7398875038481,0.7356348037719727
67,999,286.08709355032323,0.6231769323348999
68,999,351.3816750306506,0.44748246669769287
69,999,716.385601227176,0.609360933303833
70,999,565.5540119694018,0.49549660086631775
71,999,548.003269939829,0.551235556602478
72,999,572.8990957490123,0.39716199040412903
73,999,540.6496288236212,0.548187255859375
74,999,362.9765731305702,0.4850307106971741
75,999,481.6363695884353,0.5027671456336975
76,999,421.5521687702684,0.45168814063072205
