episode,length,reward,loss
0,999,422.03934542211346,None
1,999,1008.4719063245102,None
2,999,845.2923079257985,None
3,91,106.6736613160361,None
4,999,1045.5347043113493,None
5,999,958.4373596133505,None
6,999,707.0774789683179,None
7,999,972.9164915526703,None
8,999,1024.7270719720123,None
9,999,1046.7150037243548,None
10,999,-429.2650321767525,None
11,999,708.4612429950602,None
12,999,691.5516821768753,None
13,66,39.28150411289807,None
14,999,376.31939723373,None
15,999,981.2013510644022,None
16,999,845.2280222710813,None
17,999,1092.6195965865643,None
18,999,908.099310673633,None
19,705,689.8830962356741,None
