episode,length,reward,loss
0,999,137.3156361180744,None
1,999,280.26410631335534,None
2,999,354.92368970185316,None
3,999,139.68231402803448,None
4,682,715.9787582079985,None
5,999,944.0786461308239,None
6,999,256.73098672395554,None
7,999,-33.19902207755558,None
8,999,661.0475631118975,None
9,999,391.1447164431257,None
10,999,-481.7043532505789,None
11,999,51.29394251998812,None
12,999,481.5544530829176,None
13,945,725.0029415397396,None
14,999,883.6773917385716,None
15,999,146.12869036433568,None
16,999,374.5790406473141,None
17,127,131.8783425091927,None
18,999,203.17138842685299,None
19,999,610.9610443557001,None
