episode,length,reward,loss
0,999,278.93123983196926,None
1,999,413.83818578226226,None
2,231,80.92548879571822,None
3,999,281.28530077012874,None
4,598,367.7626160611402,None
5,999,326.7468258363465,None
6,160,60.907852331138,None
7,999,406.6539188957599,None
8,761,161.41854691950658,None
9,999,473.92064001730563,None
10,999,577.8100428178534,None
11,176,114.04625365950699,None
12,332,59.77418046491043,None
13,999,484.5233972969925,None
14,999,389.7314956627145,None
15,363,71.84726098190374,None
16,999,303.8131905248633,None
17,999,602.8709486023857,None
18,999,344.01436747883406,None
19,999,425.9564230093847,None
